tbl;Year;quarter;citymarketid_1;citymarketid_2;city1_id;city2_id;airportid_1;airportid_2;nsmiles;passengers;fare;carrier_lg_id;large_ms;fare_lg;carrier_low_id;lf_ms;fare_low;tbl1apk;Columna2;Columna1
Table1a;2021;3;30135;33195;3;102;10135;14112;970;180;8143;7;10000;8143;7;10000;8143;202131013514112ABEPIE;;
Table1a;2021;3;30135;33195;3;102;10135;15304;970;19;20893;5;4659;21998;11;1193;15411;202131013515304ABETPA;;
Table1a;2021;3;30140;30194;2;25;10140;11259;580;204;18456;12;9968;18444;12;9968;18444;202131014011259ABQDAL;;
Table1a;2021;3;30140;30194;2;25;10140;11298;580;264;18264;2;9774;18309;2;9774;18309;202131014011298ABQDFW;;
Table1a;2021;3;30140;30466;2;77;10140;14107;328;398;17711;12;6061;18449;2;3939;16577;202131014014107ABQPHX;;
Table1a;2021;3;30140;30721;2;12;10140;10721;1974;153;32497;2;4263;32373;12;1609;29820;202131014010721ABQBOS;;
Table1a;2021;3;30140;30721;2;12;10140;13296;1974;16;31590;12;7285;27042;12;7285;27042;202131014013296ABQMHT;;
Table1a;2021;3;30140;30721;2;12;10140;14307;1974;22;32922;12;5415;27160;12;5415;27160;202131014014307ABQPVD;;
Table1a;2021;3;30140;30852;2;107;10140;10821;1670;159;25589;12;7212;24489;12;7212;24489;202131014010821ABQBWI;;
Table1a;2021;3;30140;30852;2;107;10140;11278;1670;151;29116;2;4404;29688;12;3197;24720;202131014011278ABQDCA;;
Table1a;2021;3;30140;30852;2;107;10140;12264;1670;59;34358;11;5646;38206;12;1402;26661;202131014012264ABQIAD;;
Table1a;2021;3;30140;30977;2;19;10140;13232;1121;99;23166;12;9934;23085;12;9934;23085;202131014013232ABQMDW;;
Table1a;2021;3;30140;30977;2;19;10140;13930;1121;206;24125;2;6869;22941;2;6869;22941;202131014013930ABQORD;;
Table1a;2021;3;30140;31453;2;39;10140;12191;759;166;20393;12;9712;20344;12;9712;20344;202131014012191ABQHOU;;
Table1a;2021;3;30140;31453;2;39;10140;12266;759;148;23285;11;8512;23569;12;447;21354;202131014012266ABQIAH;;
Table1a;2021;3;30140;31703;2;68;10140;11618;1861;77;34213;11;3845;38233;2;3324;29640;202131014011618ABQEWR;;
Table1a;2021;3;30140;31703;2;68;10140;12197;1861;3;35692;5;6154;35824;2;3462;35022;202131014012197ABQHPN;;
Table1a;2021;3;30140;31703;2;68;10140;12391;1861;4;24010;12;8049;22094;12;8049;22094;202131014012391ABQISP;;
Table1a;2021;3;30140;31703;2;68;10140;12478;1861;177;25178;4;8338;23407;4;8338;23407;202131014012478ABQJFK;;
Table1a;2021;3;30140;31703;2;68;10140;12953;1861;125;29522;2;5013;30237;12;2145;22904;202131014012953ABQLGA;;
Table1a;2021;3;30140;31703;2;68;10140;15070;1861;0;42750;2;10000;42750;2;10000;42750;202131014015070ABQSWF;;
Table1a;2021;3;30140;32457;2;90;10140;13796;896;216;19436;12;9638;19320;12;9638;19320;202131014013796ABQOAK;;
Table1a;2021;3;30140;32457;2;90;10140;14771;896;188;24607;11;6493;25554;12;1346;22169;202131014014771ABQSFO;;
Table1a;2021;3;30140;32457;2;90;10140;14831;896;61;20922;12;6566;20007;12;6566;20007;202131014014831ABQSJC;;
Table1a;2021;3;30140;32575;2;51;10140;10800;677;39;20545;12;6592;20543;2;2430;19601;202131014010800ABQBUR;;
Table1a;2021;3;30140;32575;2;51;10140;12892;677;572;17293;5;3790;18173;12;2572;15814;202131014012892ABQLAX;;
Table1a;2021;3;30140;32575;2;51;10140;12954;677;12;20128;12;5636;18775;5;1182;18077;202131014012954ABQLGB;;
Table1a;2021;3;30140;32575;2;51;10140;13891;677;52;21231;12;5933;20421;12;5933;20421;202131014013891ABQONT;;
Table1a;2021;3;30140;32575;2;51;10140;14908;677;79;22287;12;6140;21643;2;3201;21559;202131014014908ABQSNA;;
Table1a;2021;3;30154;31703;65;68;10154;11618;218;176;16527;11;5473;16932;4;4460;16008;202131015411618ACKEWR;;
Table1a;2021;3;30154;31703;65;68;10154;12197;218;78;18908;4;9958;18857;4;9958;18857;202131015412197ACKHPN;;
Table1a;2021;3;30154;31703;65;68;10154;12478;218;210;15666;4;7464;15554;4;7464;15554;202131015412478ACKJFK;;
Table1a;2021;3;30154;31703;65;68;10154;12953;218;135;15709;4;8460;15324;4;8460;15324;202131015412953ACKLGA;;
Table1a;2021;3;30189;30194;22;25;11109;11259;602;194;12276;12;10000;12276;12;10000;12276;202131110911259COSDAL;;
Table1a;2021;3;30189;30194;22;25;11109;11298;602;343;15447;2;9800;15363;2;9800;15363;202131110911298COSDFW;;
Table1a;2021;3;30189;30466;22;77;11109;14107;551;261;12059;12;8219;12441;6;1164;6759;202131110914107COSPHX;;
Table1a;2021;3;30189;30852;22;107;11109;10821;1503;65;25159;12;5386;23890;12;5386;23890;202131110910821COSBWI;;
Table1a;2021;3;30189;30852;22;107;11109;11278;1503;84;27814;2;5724;28779;12;1886;19998;202131110911278COSDCA;;
Table1a;2021;3;30189;30852;22;107;11109;12264;1503;63;30182;11;6045;34252;12;2763;20022;202131110912264COSIAD;;
Table1a;2021;3;30189;32575;22;51;11109;10800;833;33;18397;12;6558;15920;12;6558;15920;202131110910800COSBUR;;
Table1a;2021;3;30189;32575;22;51;11109;12892;833;109;20347;11;6444;22123;12;2251;15275;202131110912892COSLAX;;
Table1a;2021;3;30189;32575;22;51;11109;12954;833;24;14375;12;8571;12082;12;8571;12082;202131110912954COSLGB;;
Table1a;2021;3;30189;32575;22;51;11109;13891;833;46;18822;12;5619;17116;12;5619;17116;202131110913891COSONT;;
Table1a;2021;3;30189;32575;22;51;11109;14908;833;48;20083;12;5666;17091;12;5666;17091;202131110914908COSSNA;;
Table1a;2021;3;30194;30198;25;78;11259;14122;1067;65;20905;12;9210;20689;12;9210;20689;202131125914122DALPIT;;
Table1a;2021;3;30194;30198;25;78;11298;14122;1067;432;23832;2;9359;24038;9;138;9538;202131129814122DFWPIT;;
Table1a;2021;3;30194;30325;25;26;11259;11292;651;1033;13410;12;9985;13414;12;9985;13414;202131125911292DALDEN;;
Table1a;2021;3;30194;30325;25;26;11298;11292;651;1904;13451;2;6307;14157;11;2787;13521;202131129811292DFWDEN;;
Table1a;2021;3;30194;30436;25;104;11259;15376;824;16;20804;12;9868;20689;12;9868;20689;202131125915376DALTUS;;
Table1a;2021;3;30194;30436;25;104;11298;15376;824;186;22887;2;9427;22950;11;345;21131;202131129815376DFWTUS;;
Table1a;2021;3;30194;30466;25;77;11259;14107;879;876;14045;12;9975;14049;12;9975;14049;202131125914107DALPHX;;
Table1a;2021;3;30194;30466;25;77;11298;14107;879;1027;17845;2;9076;18417;9;493;9239;202131129814107DFWPHX;;
Table1a;2021;3;30194;30529;25;38;11259;10529;1471;24;28038;12;8795;26929;12;8795;26929;202131125910529DALBDL;;
Table1a;2021;3;30194;30529;25;38;11298;10529;1471;212;28695;2;7766;29380;2;7766;29380;202131129810529DFWBDL;;
Table1a;2021;3;30194;30559;25;95;11259;14747;1670;445;19365;3;6464;18836;3;6464;18836;202131125914747DALSEA;;
Table1a;2021;3;30194;30559;25;95;11298;14747;1670;1292;21553;2;4881;22716;3;4334;20536;202131129814747DFWSEA;;
Table1a;2021;3;30194;30615;25;29;11259;11540;562;350;16200;12;10000;16200;12;10000;16200;202131125911540DALELP;;
Table1a;2021;3;30194;30615;25;29;11298;11540;562;350;17100;2;9938;17078;2;9938;17078;202131129811540DFWELP;;
Table1a;2021;3;30194;30693;25;66;11259;10693;631;550;15721;12;9929;15676;12;9929;15676;202131125910693DALBNA;;
Table1a;2021;3;30194;30693;25;66;11298;10693;631;700;17204;2;9473;17414;6;263;6943;202131129810693DFWBNA;;
Table1a;2021;3;30194;30852;25;107;11259;10821;1217;649;17622;12;9883;17589;12;9883;17589;202131125910821DALBWI;;
Table1a;2021;3;30194;30852;25;107;11259;11278;1217;278;20277;12;9808;20183;12;9808;20183;202131125911278DALDCA;;
Table1a;2021;3;30194;30852;25;107;11259;12264;1217;17;22673;12;7756;21595;12;7756;21595;202131125912264DALIAD;;
Table1a;2021;3;30194;30852;25;107;11298;10821;1217;647;18197;2;7187;20268;9;2188;10578;202131129810821DFWBWI;;
Table1a;2021;3;30194;30852;25;107;11298;11278;1217;722;25224;2;9541;25206;2;9541;25206;202131129811278DFWDCA;;
Table1a;2021;3;30194;30852;25;107;11298;12264;1217;352;24861;11;4994;24532;11;4994;24532;202131129812264DFWIAD;;
Table1a;2021;3;30194;31123;25;99;11259;15016;550;460;16730;12;9976;16727;12;9976;16727;202131125915016DALSTL;;
Table1a;2021;3;30194;31123;25;99;11298;15016;550;404;17399;2;9795;17346;2;9795;17346;202131129815016DFWSTL;;
Table1a;2021;3;30194;31135;25;64;11259;13577;1048;38;16745;12;8949;16364;12;8949;16364;202131125913577DALMYR;;
Table1a;2021;3;30194;31135;25;64;11298;13577;1048;195;16615;2;8389;17296;9;881;8779;202131129813577DFWMYR;;
Table1a;2021;3;30194;31136;25;44;11259;12451;918;52;19004;12;8998;18334;12;8998;18334;202131125912451DALJAX;;
Table1a;2021;3;30194;31136;25;44;11298;12451;918;414;19956;2;9485;19693;2;9485;19693;202131129812451DFWJAX;;
Table1a;2021;3;30194;31295;25;28;11259;11433;986;65;16172;12;8754;14938;12;8754;14938;202131125911433DALDTW;;
Table1a;2021;3;30194;31295;25;28;11298;11433;986;1236;16313;5;4949;17331;2;4005;16637;202131129811433DFWDTW;;
Table1a;2021;3;30194;31423;25;27;11259;11423;624;7;18330;12;9844;18347;12;9844;18347;202131125911423DALDSM;;
Table1a;2021;3;30194;31423;25;27;11298;11423;624;180;21201;2;8867;21454;11;699;18721;202131129811423DFWDSM;;
Table1a;2021;3;30194;31453;25;39;11259;12191;247;560;16535;12;9971;16542;12;9971;16542;202131125912191DALHOU;;
Table1a;2021;3;30194;31453;25;39;11259;12266;247;107;14983;12;10000;14983;12;10000;14983;202131125912266DALIAH;;
Table1a;2021;3;30194;31453;25;39;11298;12191;247;132;15734;2;9727;15742;2;9727;15742;202131129812191DFWHOU;;
Table1a;2021;3;30194;31453;25;39;11298;12266;247;442;16419;2;5483;16007;2;5483;16007;202131129812266DFWIAH;;
Table1a;2021;3;30194;31454;25;72;11259;13204;985;753;15603;12;9827;15527;12;9827;15527;202131125913204DALMCO;;
Table1a;2021;3;30194;31454;25;72;11298;13204;985;1623;16106;2;7233;18334;9;2005;8691;202131129813204DFWMCO;;
Table1a;2021;3;30194;31481;25;74;11259;11481;685;247;15396;12;9842;15363;12;9842;15363;202131125911481DALECP;;
Table1a;2021;3;30194;31481;25;74;11298;11481;685;172;19107;2;9034;19139;5;663;18269;202131129811481DFWECP;;
Table1a;2021;3;30194;31504;25;106;11259;15624;641;99;16524;12;9639;16470;12;9639;16470;202131125915624DALVPS;;
Table1a;2021;3;30194;31504;25;106;11298;15624;641;424;18418;2;9726;18437;5;195;16947;202131129815624DFWVPS;;
Table1a;2021;3;30194;31638;25;33;11259;11638;1325;19;22011;12;8409;22905;3;1420;15660;202131125911638DALFAT;;
Table1a;2021;3;30194;31638;25;33;11298;11638;1325;176;24752;2;8845;25002;11;451;22538;202131129811638DFWFAT;;
Table1a;2021;3;30194;31650;25;61;11259;13487;853;118;13046;12;9889;12991;12;9889;12991;202131125913487DALMSP;;
Table1a;2021;3;30194;31650;25;61;11298;13487;853;1272;12998;5;4874;13246;5;4874;13246;202131129813487DFWMSP;;
Table1a;2021;3;30194;31703;25;68;11259;11618;1428;5;21933;5;10000;21933;5;10000;21933;202131125911618DALEWR;;
Table1a;2021;3;30194;31703;25;68;11259;12197;1428;1;23018;5;10000;23018;5;10000;23018;202131125912197DALHPN;;
Table1a;2021;3;30194;31703;25;68;11259;12391;1428;24;17965;12;10000;17965;12;10000;17965;202131125912391DALISP;;
Table1a;2021;3;30194;31703;25;68;11259;12478;1428;4;18584;5;9697;18934;5;9697;18934;202131125912478DALJFK;;
Table1a;2021;3;30194;31703;25;68;11259;12953;1428;379;16962;12;9759;16898;12;9759;16898;202131125912953DALLGA;;
Table1a;2021;3;30194;31703;25;68;11298;11618;1428;1239;20173;11;4243;19759;6;1144;10333;202131129811618DFWEWR;;
Table1a;2021;3;30194;31703;25;68;11298;12197;1428;13;27756;2;5820;27755;2;5820;27755;202131129812197DFWHPN;;
Table1a;2021;3;30194;31703;25;68;11298;12391;1428;5;29583;2;8000;31521;6;1556;14000;202131129812391DFWISP;;
Table1a;2021;3;30194;31703;25;68;11298;12478;1428;516;19211;5;3431;20954;4;2968;16777;202131129812478DFWJFK;;
Table1a;2021;3;30194;31703;25;68;11298;12953;1428;1784;20468;2;5109;23055;5;3601;18840;202131129812953DFWLGA;;
Table1a;2021;3;30194;31703;25;68;11298;15070;1428;2;22521;2;9565;22405;2;9565;22405;202131129815070DFWSWF;;
Table1a;2021;3;30194;31714;25;32;11259;14635;1017;92;17333;12;9600;17182;12;9600;17182;202131125914635DALRSW;;
Table1a;2021;3;30194;31714;25;32;11298;14635;1017;300;20415;2;9609;20325;2;9609;20325;202131129814635DFWRSW;;
Table1a;2021;3;30194;31871;25;36;11259;11996;862;28;19888;12;8000;19317;12;8000;19317;202131125911996DALGSP;;
Table1a;2021;3;30194;31871;25;36;11298;11996;862;167;22335;2;8584;22039;2;8584;22039;202131129811996DFWGSP;;
Table1a;2021;3;30194;31884;25;97;11259;11884;1486;42;22818;12;6803;23472;3;3018;21091;202131125911884DALGEG;;
Table1a;2021;3;30194;31884;25;97;11298;11884;1486;162;27033;2;5251;30672;5;2482;22163;202131129811884DFWGEG;;
Table1a;2021;3;30194;31986;25;34;11259;11986;931;23;21482;12;8785;20530;12;8785;20530;202131125911986DALGRR;;
Table1a;2021;3;30194;31986;25;34;11298;11986;931;212;24731;2;7981;25083;5;1420;23990;202131129811986DFWGRR;;
Table1a;2021;3;30194;32206;25;37;11259;12206;461;130;14668;12;9992;14674;12;9992;14674;202131125912206DALHRL;;
Table1a;2021;3;30194;32206;25;37;11298;12206;461;85;16614;2;8766;16152;2;8766;16152;202131129812206DFWHRL;;
Table1a;2021;3;30194;32211;25;49;11259;12889;1067;984;17082;12;9954;17081;12;9954;17081;202131125912889DALLAS;;
Table1a;2021;3;30194;32211;25;49;11298;12889;1067;1966;18307;2;6275;22153;9;2037;10752;202131129812889DFWLAS;;
Table1a;2021;3;30194;32337;25;41;11259;12339;761;130;18096;12;9707;17960;12;9707;17960;202131125912339DALIND;;
Table1a;2021;3;30194;32337;25;41;11298;12339;761;469;20178;2;9478;20086;2;9478;20086;202131129812339DFWIND;;
Table1a;2021;3;30194;32457;25;90;11259;13796;1476;344;18784;12;9930;18780;12;9930;18780;202131125913796DALOAK;;
Table1a;2021;3;30194;32457;25;90;11259;14771;1476;162;20697;3;7638;20608;12;2268;20334;202131125914771DALSFO;;
Table1a;2021;3;30194;32457;25;90;11259;14831;1476;246;20427;12;9845;20418;12;9845;20418;202131125914831DALSJC;;
Table1a;2021;3;30194;32457;25;90;11298;13796;1476;40;15763;5;4812;22076;6;1129;7710;202131129813796DFWOAK;;
Table1a;2021;3;30194;32457;25;90;11298;14771;1476;1052;22936;2;7807;23145;2;7807;23145;202131129814771DFWSFO;;
Table1a;2021;3;30194;32457;25;90;11298;14831;1476;219;26773;2;8674;27199;5;601;23064;202131129814831DFWSJC;;
Table1a;2021;3;30194;32467;25;58;11259;11697;1121;388;13606;12;9882;13541;12;9882;13541;202131125911697DALFLL;;
Table1a;2021;3;30194;32467;25;58;11259;13303;1121;220;15106;12;9629;15045;12;9629;15045;202131125913303DALMIA;;
Table1a;2021;3;30194;32467;25;58;11298;11697;1121;918;14458;2;7103;15960;9;2687;9732;202131129811697DFWFLL;;
Table1a;2021;3;30194;32467;25;58;11298;13303;1121;1038;18937;2;9335;19303;6;395;8666;202131129813303DFWMIA;;
Table1a;2021;3;30194;32575;25;51;11259;10800;1246;141;17131;12;9869;17149;12;9869;17149;202131125910800DALBUR;;
Table1a;2021;3;30194;32575;25;51;11259;12892;1246;961;14872;12;7119;15339;3;2827;13590;202131125912892DALLAX;;
Table1a;2021;3;30194;32575;25;51;11259;12954;1246;144;14398;12;9955;14386;12;9955;14386;202131125912954DALLGB;;
Table1a;2021;3;30194;32575;25;51;11259;13891;1246;156;18188;12;9958;18200;12;9958;18200;202131125913891DALONT;;
Table1a;2021;3;30194;32575;25;51;11259;14908;1246;136;20929;12;9912;20830;12;9912;20830;202131125914908DALSNA;;
Table1a;2021;3;30194;32575;25;51;11298;10800;1246;163;21601;2;9686;21570;2;9686;21570;202131129810800DFWBUR;;
Table1a;2021;3;30194;32575;25;51;11298;12892;1246;2541;16593;2;6326;18837;9;1924;9086;202131129812892DFWLAX;;
Table1a;2021;3;30194;32575;25;51;11298;12954;1246;51;17428;2;9231;17433;5;620;16362;202131129812954DFWLGB;;
Table1a;2021;3;30194;32575;25;51;11298;13891;1246;579;18626;2;8415;20097;6;1313;8405;202131129813891DFWONT;;
Table1a;2021;3;30194;32575;25;51;11298;14908;1246;748;23759;2;9496;23866;9;108;8616;202131129814908DFWSNA;;
Table1a;2021;3;30194;32600;25;50;11259;12992;304;72;13948;12;10000;13948;12;10000;13948;202131125912992DALLIT;;
Table1a;2021;3;30194;32600;25;50;11298;12992;304;171;16458;2;9880;16469;2;9880;16469;202131129812992DFWLIT;;
Table1a;2021;3;30194;32896;25;53;11259;12896;293;196;14464;12;10000;14464;12;10000;14464;202131125912896DALLBB;;
Table1a;2021;3;30194;32896;25;53;11298;12896;293;131;15946;2;9950;15964;2;9950;15964;202131129812896DFWLBB;;
Table1a;2021;3;30194;33044;25;52;11259;14730;733;79;17719;12;9530;17649;12;9530;17649;202131125914730DALSDF;;
Table1a;2021;3;30194;33044;25;52;11298;14730;733;262;19445;2;9527;19301;11;112;18248;202131129814730DFWSDF;;
Table1a;2021;3;30194;33158;25;59;11259;13158;319;150;15329;12;9964;15341;12;9964;15341;202131125913158DALMAF;;
Table1a;2021;3;30194;33158;25;59;11298;13158;319;115;17523;2;9792;17490;2;9792;17490;202131129813158DFWMAF;;
Table1a;2021;3;30194;33192;25;86;11259;14893;1442;225;22688;12;9899;22632;12;9899;22632;202131125914893DALSMF;;
Table1a;2021;3;30194;33192;25;86;11298;14893;1442;424;25180;2;8767;25615;9;333;9216;202131129814893DFWSMF;;
Table1a;2021;3;30194;33195;25;102;11259;15304;929;412;13958;12;9826;13853;12;9826;13853;202131125915304DALTPA;;
Table1a;2021;3;30194;33195;25;102;11298;15304;929;902;15791;2;8703;16463;9;1010;8136;202131129815304DFWTPA;;
Table1a;2021;3;30194;33198;25;46;11259;13198;461;402;15427;12;10000;15427;12;10000;15427;202131125913198DALMCI;;
Table1a;2021;3;30194;33198;25;46;11298;13198;461;487;14788;2;9880;14775;2;9880;14775;202131129813198DFWMCI;;
Table1a;2021;3;30194;33214;25;88;11259;14683;247;379;16849;12;9983;16855;12;9983;16855;202131125914683DALSAT;;
Table1a;2021;3;30194;33214;25;88;11298;14683;247;334;16430;2;9765;16436;2;9765;16436;202131129814683DFWSAT;;
Table1a;2021;3;30194;33244;25;57;11259;13244;431;105;14256;12;9856;14214;12;9856;14214;202131125913244DALMEM;;
Table1a;2021;3;30194;33244;25;57;11298;13244;431;386;15436;2;9763;15300;2;9763;15300;202131129813244DFWMEM;;
Table1a;2021;3;30194;33316;25;71;11259;13871;586;113;16350;12;9981;16349;12;9981;16349;202131125913871DALOMA;;
Table1a;2021;3;30194;33316;25;71;11298;13871;586;261;18698;2;9520;18578;2;9520;18578;202131129813871DFWOMA;;
Table1a;2021;3;30194;33342;25;60;11259;13342;853;115;19450;12;9773;19370;12;9773;19370;202131125913342DALMKE;;
Table1a;2021;3;30194;33342;25;60;11298;13342;853;340;21241;2;9255;20947;2;9255;20947;202131129813342DFWMKE;;
Table1a;2021;3;30194;33495;25;67;11259;13495;447;470;12438;12;9965;12427;12;9965;12427;202131125913495DALMSY;;
Table1a;2021;3;30194;33495;25;67;11298;13495;447;446;13770;2;9084;14017;9;565;8428;202131129813495DFWMSY;;
Table1a;2021;3;30194;33570;25;89;11259;14679;1182;502;19313;12;9922;19250;12;9922;19250;202131125914679DALSAN;;
Table1a;2021;3;30194;33570;25;89;11298;14679;1182;964;21841;2;8520;22550;6;103;7052;202131129814679DFWSAN;;
Table1a;2021;3;30194;33667;25;69;11259;13931;1212;38;22694;12;8138;21889;12;8138;21889;202131125913931DALORF;;
