carrier_id,carrier_code,carrier_type
1,180,Legacy
2,19,Legacy
3,204,Legacy
4,264,Legacy
5,398,Legacy
6,153,Legacy
7,16,Legacy
8,22,Legacy
9,159,Legacy
10,151,Legacy
11,59,Legacy
12,99,Legacy
13,206,Legacy
14,166,Legacy
15,148,Legacy
16,77,Legacy
17,3,Legacy
18,4,Legacy
19,177,Legacy
20,125,Legacy
21,216,Legacy
22,188,Legacy
23,61,Legacy
24,39,Legacy
25,572,Legacy
26,12,Legacy
27,52,Legacy
28,79,Legacy
29,176,Legacy
30,78,Legacy
31,210,Legacy
32,135,Legacy
33,194,Legacy
34,343,Legacy
35,261,Legacy
36,65,Legacy
37,84,Legacy
38,63,Legacy
39,33,Legacy
40,109,Legacy
41,24,Legacy
42,46,Legacy
43,48,Legacy
44,432,Legacy
45,1033,Legacy
46,1904,Legacy
47,186,Legacy
48,876,Legacy
49,1027,Legacy
50,212,Legacy
51,445,Legacy
52,1292,Legacy
53,350,Legacy
54,550,Legacy
55,700,Legacy
56,649,Legacy
57,278,Legacy
58,17,Legacy
59,647,Legacy
60,722,Legacy
61,352,Legacy
62,460,Legacy
63,404,Legacy
64,38,Legacy
65,195,Legacy
66,414,Legacy
67,1236,Legacy
68,7,Legacy
69,560,Legacy
70,107,Legacy
71,132,Legacy
72,442,Legacy
73,753,Legacy
74,1623,Legacy
75,247,Legacy
76,172,Legacy
77,424,Legacy
78,118,Legacy
79,1272,Legacy
80,5,Legacy
81,1,Legacy
82,379,Legacy
83,1239,Legacy
84,13,Legacy
85,516,Legacy
86,1784,Legacy
87,2,Legacy
88,92,Legacy
89,300,Legacy
90,28,Legacy
91,167,Legacy
92,42,Legacy
93,162,Legacy
94,23,Legacy
95,130,Legacy
96,85,Legacy
97,984,Legacy
98,1966,Legacy
99,469,Legacy
100,344,Legacy
101,246,Legacy
102,40,Legacy
103,1052,Legacy
104,219,Legacy
105,388,Legacy
106,220,Legacy
107,918,Legacy
108,1038,Legacy
109,141,Legacy
110,961,Legacy
111,144,Legacy
112,156,Legacy
113,136,Legacy
114,163,Legacy
115,2541,Legacy
116,51,Legacy
117,579,Legacy
118,748,Legacy
119,72,Legacy
120,171,Legacy
121,196,Legacy
122,131,Legacy
123,262,Legacy
124,150,Legacy
125,115,Legacy
126,225,Legacy
127,412,Legacy
128,902,Legacy
129,402,Legacy
130,487,Legacy
131,334,Legacy
132,105,Legacy
133,386,Legacy
134,113,Legacy
135,340,Legacy
136,470,Legacy
137,446,Legacy
138,502,Legacy
139,964,Legacy
140,321,Legacy
141,10,Legacy
142,290,Legacy
143,183,Legacy
144,189,Legacy
145,601,Legacy
146,69,Legacy
147,1200,Legacy
148,101,Legacy
149,491,Legacy
150,32,Legacy
151,265,Legacy
152,237,Legacy
153,197,Legacy
154,1008,Legacy
155,122,Legacy
156,76,Legacy
157,175,Legacy
158,192,Legacy
159,45,Legacy
160,230,Legacy
161,70,Legacy
162,80,Legacy
163,532,Legacy
164,37,Legacy
165,129,Legacy
166,83,Legacy
167,108,Legacy
168,205,Legacy
169,272,Legacy
170,34,Legacy
171,9,Legacy
172,142,Legacy
173,29,Legacy
174,149,Legacy
175,114,Legacy
176,2449,Legacy
177,1173,Legacy
178,759,Legacy
179,1091,Legacy
180,770,Legacy
181,1575,Legacy
182,1266,Legacy
183,15,Legacy
184,31,Legacy
185,777,Legacy
186,1533,Legacy
187,787,Legacy
188,1447,Legacy
189,665,Legacy
190,873,Legacy
191,788,Legacy
192,513,Legacy
193,2367,Legacy
194,275,Legacy
195,544,Legacy
196,1259,Legacy
197,1188,Legacy
198,327,Legacy
199,888,Legacy
200,1883,Legacy
201,1098,Legacy
202,6,Legacy
203,931,Legacy
204,1963,Legacy
205,282,Legacy
206,1640,Legacy
207,1464,Legacy
208,683,Legacy
209,1315,Legacy
210,2262,Legacy
211,616,Legacy
212,1065,Legacy
213,1205,Legacy
214,2266,Legacy
215,198,Legacy
216,71,Legacy
217,2897,Legacy
218,213,Legacy
219,1111,Legacy
220,2137,Legacy
221,2094,Legacy
222,64,Legacy
223,2859,Legacy
224,60,Legacy
225,341,Legacy
226,298,Legacy
227,1245,Legacy
228,438,Legacy
229,233,Legacy
230,663,Legacy
231,818,Legacy
232,35,Legacy
233,68,Legacy
234,408,Legacy
235,319,Legacy
236,356,Legacy
237,468,Legacy
238,1041,Legacy
239,971,Legacy
240,956,Legacy
241,120,Legacy
242,217,Legacy
243,822,Legacy
244,500,Legacy
245,463,Legacy
246,478,Legacy
247,1942,Legacy
248,137,Legacy
249,103,Legacy
250,286,Legacy
251,392,Legacy
252,187,Legacy
253,8,Legacy
254,127,Legacy
255,25,Legacy
256,202,Legacy
257,82,Legacy
258,342,Legacy
259,2902,Legacy
260,530,Legacy
261,283,Legacy
262,618,Legacy
263,126,Legacy
264,116,Legacy
265,768,Legacy
266,1026,Legacy
267,670,Legacy
268,989,Legacy
269,466,Legacy
270,437,Legacy
271,1215,Legacy
272,1358,Legacy
273,324,Legacy
274,474,Legacy
275,1397,Legacy
276,193,Legacy
277,160,Legacy
278,21,Legacy
279,30,Legacy
280,521,Legacy
281,11,Legacy
282,56,Legacy
283,585,Legacy
284,564,Legacy
285,782,Legacy
286,650,Legacy
287,152,Legacy
288,214,Legacy
289,91,Legacy
290,112,Legacy
291,154,Legacy
292,50,Legacy
293,178,Legacy
294,67,Legacy
295,18,Legacy
296,266,Legacy
297,98,Legacy
298,234,Legacy
299,174,Legacy
300,123,Legacy
301,49,Legacy
302,751,Legacy
303,503,Legacy
304,14,Legacy
305,323,Legacy
306,165,Legacy
307,53,Legacy
308,315,Legacy
309,880,Legacy
310,380,Legacy
311,100,Legacy
312,429,Legacy
313,891,Legacy
314,307,Legacy
315,473,Legacy
316,26,Legacy
317,673,Legacy
318,199,Legacy
319,161,Legacy
320,707,Legacy
321,525,Legacy
322,600,Legacy
323,729,Legacy
324,1062,Legacy
325,551,Legacy
326,47,Legacy
327,415,Legacy
328,96,Legacy
329,221,Legacy
330,249,Legacy
331,575,Legacy
332,254,Legacy
333,1314,Legacy
334,20,Legacy
335,523,Legacy
336,1960,Legacy
337,66,Legacy
