flight_id,carrier_id,market_share,fare
1,1,8143,
1,851,8143,
2,2,20893,
2,852,21998,
3,3,18456,
3,853,18444,
4,4,18264,
4,854,18309,
5,5,17711,
5,855,18449,
6,6,32497,
6,856,32373,
7,7,31590,
7,857,27042,
8,8,32922,
8,858,27160,
9,9,25589,
9,859,24489,
10,10,29116,
10,860,29688,
11,11,34358,
11,861,38206,
12,12,23166,
12,862,23085,
13,13,24125,
13,863,22941,
14,14,20393,
14,864,20344,
15,15,23285,
15,865,23569,
16,16,34213,
16,866,38233,
17,17,35692,
17,867,35824,
18,18,24010,
18,868,22094,
19,19,25178,
19,869,23407,
20,20,29522,
20,870,30237,
21,851,42750,
22,21,19436,
22,871,19320,
23,22,24607,
23,872,25554,
24,23,20922,
24,873,20007,
25,24,20545,
25,874,20543,
26,25,17293,
26,875,18173,
27,26,20128,
27,876,18775,
28,27,21231,
28,877,20421,
29,28,22287,
29,878,21643,
30,29,16527,
30,879,16932,
31,30,18908,
31,880,18857,
32,31,15666,
32,881,15554,
33,32,15709,
33,882,15324,
34,33,12276,
34,851,12276,
35,34,15447,
35,883,15363,
36,35,12059,
36,884,12441,
37,36,25159,
37,885,23890,
38,37,27814,
38,886,28779,
39,38,30182,
39,887,34252,
40,39,18397,
40,888,15920,
41,40,20347,
41,889,22123,
42,41,14375,
42,890,12082,
43,42,18822,
43,891,17116,
44,43,20083,
44,892,17091,
45,36,20905,
45,893,20689,
46,44,23832,
46,894,24038,
47,45,13410,
47,895,13414,
48,46,13451,
48,896,14157,
49,7,20804,
49,897,20689,
50,47,22887,
50,898,22950,
51,48,14045,
51,899,14049,
52,49,17845,
52,900,18417,
53,41,28038,
53,901,26929,
54,50,28695,
54,902,29380,
55,51,19365,
55,903,18836,
56,52,21553,
56,904,22716,
57,53,16200,
57,851,16200,
58,53,17100,
58,905,17078,
59,54,15721,
59,906,15676,
60,55,17204,
60,907,17414,
61,56,17622,
61,908,17589,
62,57,20277,
62,909,20183,
63,58,22673,
63,910,21595,
64,59,18197,
64,911,20268,
65,60,25224,
65,912,25206,
66,61,24861,
66,913,24532,
67,62,16730,
67,914,16727,
68,63,17399,
68,915,17346,
69,64,16745,
69,916,16364,
70,65,16615,
70,917,17296,
71,27,19004,
71,918,18334,
72,66,19956,
72,919,19693,
73,36,16172,
73,920,14938,
74,67,16313,
74,921,17331,
75,68,18330,
75,922,18347,
76,1,21201,
76,923,21454,
77,69,16535,
77,924,16542,
78,70,14983,
78,851,14983,
79,71,15734,
79,925,15742,
80,72,16419,
80,926,16007,
81,73,15603,
81,927,15527,
82,74,16106,
82,928,18334,
83,75,15396,
83,929,15363,
84,76,19107,
84,930,19139,
85,12,16524,
85,931,16470,
86,77,18418,
86,932,18437,
87,2,22011,
87,933,22905,
88,29,24752,
88,934,25002,
89,78,13046,
89,935,12991,
90,79,12998,
90,936,13246,
91,80,21933,
91,851,21933,
92,81,23018,
92,851,23018,
93,41,17965,
93,851,17965,
94,18,18584,
94,937,18934,
95,82,16962,
95,938,16898,
96,83,20173,
96,939,19759,
97,84,27756,
97,940,27755,
98,80,29583,
98,941,31521,
99,85,19211,
99,942,20954,
100,86,20468,
100,943,23055,
101,87,22521,
101,944,22405,
102,88,17333,
102,945,17182,
103,89,20415,
103,946,20325,
104,90,19888,
104,941,19317,
105,91,22335,
105,947,22039,
106,92,22818,
106,948,23472,
107,93,27033,
107,949,30672,
108,94,21482,
108,950,20530,
109,50,24731,
109,951,25083,
110,95,14668,
110,952,14674,
111,96,16614,
111,953,16152,
112,97,17082,
112,954,17081,
113,98,18307,
113,955,22153,
114,95,18096,
114,956,17960,
115,99,20178,
115,957,20086,
116,100,18784,
116,958,18780,
117,93,20697,
117,959,20608,
118,101,20427,
118,960,20418,
119,102,15763,
119,961,22076,
120,103,22936,
120,962,23145,
121,104,26773,
121,963,27199,
122,105,13606,
122,964,13541,
123,106,15106,
123,965,15045,
124,107,14458,
124,966,15960,
125,108,18937,
125,967,19303,
126,109,17131,
126,968,17149,
127,110,14872,
127,969,15339,
128,111,14398,
128,970,14386,
129,112,18188,
129,880,18200,
130,113,20929,
130,971,20830,
131,114,21601,
131,972,21570,
132,115,16593,
132,973,18837,
133,116,17428,
133,974,17433,
134,117,18626,
134,975,20097,
135,118,23759,
135,976,23866,
136,119,13948,
136,851,13948,
137,120,16458,
137,977,16469,
138,121,14464,
138,851,14464,
139,122,15946,
139,978,15964,
140,28,17719,
140,979,17649,
141,123,19445,
141,980,19301,
142,124,15329,
142,981,15341,
143,125,17523,
143,982,17490,
144,126,22688,
144,983,22632,
145,77,25180,
145,984,25615,
146,127,13958,
146,985,13853,
147,128,15791,
147,986,16463,
148,129,15427,
148,851,15427,
149,130,14788,
149,977,14775,
150,82,16849,
150,987,16855,
151,131,16430,
151,988,16436,
152,132,14256,
152,989,14214,
153,133,15436,
153,990,15300,
154,134,16350,
154,991,16349,
155,35,18698,
155,992,18578,
156,125,19450,
156,993,19370,
157,135,21241,
157,994,20947,
158,136,12438,
158,995,12427,
159,137,13770,
159,996,14017,
160,138,19313,
160,997,19250,
161,139,21841,
161,998,22550,
162,64,22694,
162,999,21889,
163,140,22484,
163,1000,22189,
164,141,27336,
164,1001,27566,
165,112,13121,
165,1002,13028,
166,142,14756,
166,1003,15598,
167,68,26003,
