airport_id,airport_code,city_market_id
Tampa,10135,30135
Dallas/Fort Worth,10140,30140
Phoenix,10140,30140
Boston,10140,30140
Washington,10140,30140
Chicago,10140,30140
Houston,10140,30140
New York City,10140,30140
San Francisco,10140,30140
Los Angeles,10140,30140
New York City,10154,30154
Dallas/Fort Worth,11109,30189
Phoenix,11109,30189
Washington,11109,30189
Los Angeles,11109,30189
Pittsburgh,11259,30194
Pittsburgh,11298,30194
Denver,11259,30194
Denver,11298,30194
Tucson,11259,30194
Tucson,11298,30194
Phoenix,11259,30194
Phoenix,11298,30194
Hartford,11259,30194
Hartford,11298,30194
Seattle,11259,30194
Seattle,11298,30194
El Paso,11259,30194
El Paso,11298,30194
Nashville,11259,30194
Nashville,11298,30194
Washington,11259,30194
Washington,11298,30194
St. Louis,11259,30194
St. Louis,11298,30194
Myrtle Beach,11259,30194
Myrtle Beach,11298,30194
Jacksonville,11259,30194
Jacksonville,11298,30194
Detroit,11259,30194
Detroit,11298,30194
Des Moines,11259,30194
Des Moines,11298,30194
Houston,11259,30194
Houston,11298,30194
Orlando,11259,30194
Orlando,11298,30194
Panama City,11259,30194
Panama City,11298,30194
Valparaiso,11259,30194
Valparaiso,11298,30194
Fresno,11259,30194
Fresno,11298,30194
Minneapolis/St. Paul,11259,30194
Minneapolis/St. Paul,11298,30194
New York City,11259,30194
New York City,11298,30194
Fort Myers,11259,30194
Fort Myers,11298,30194
Greenville/Spartanburg,11259,30194
Greenville/Spartanburg,11298,30194
Spokane,11259,30194
Spokane,11298,30194
Grand Rapids,11259,30194
Grand Rapids,11298,30194
Harlingen/San Benito,11259,30194
Harlingen/San Benito,11298,30194
Las Vegas,11259,30194
Las Vegas,11298,30194
Indianapolis,11259,30194
Indianapolis,11298,30194
San Francisco,11259,30194
San Francisco,11298,30194
Miami,11259,30194
Miami,11298,30194
Los Angeles,11259,30194
Los Angeles,11298,30194
Little Rock,11259,30194
Little Rock,11298,30194
Lubbock,11259,30194
Lubbock,11298,30194
Louisville,11259,30194
Louisville,11298,30194
Midland/Odessa,11259,30194
Midland/Odessa,11298,30194
Sacramento,11259,30194
Sacramento,11298,30194
Tampa,11259,30194
Tampa,11298,30194
Kansas City,11259,30194
Kansas City,11298,30194
San Antonio,11259,30194
San Antonio,11298,30194
Memphis,11259,30194
Memphis,11298,30194
Omaha,11259,30194
Omaha,11298,30194
Milwaukee,11259,30194
Milwaukee,11298,30194
New Orleans,11259,30194
New Orleans,11298,30194
San Diego,11259,30194
San Diego,11298,30194
Norfolk,11259,30194
Norfolk,11298,30194
Pensacola,11259,30194
Pensacola,11298,30194
West Palm Beach/Palm Beach,11259,30194
West Palm Beach/Palm Beach,11298,30194
Portland,11259,30194
Portland,11298,30194
Philadelphia,11259,30194
Philadelphia,11298,30194
Raleigh/Durham,11259,30194
Raleigh/Durham,11298,30194
Richmond,11259,30194
Richmond,11298,30194
Reno,11259,30194
Reno,11298,30194
Salt Lake City,11259,30194
Salt Lake City,11298,30194
Tulsa,11259,30194
Tulsa,11298,30194
Savannah,11259,30194
Savannah,11298,30194
Knoxville,11259,30194
Knoxville,11298,30194
San Francisco,14122,30198
Tampa,14122,30198
Washington,12217,30255
Washington,10257,30257
Chicago,10257,30257
Miami,10257,30257
Los Angeles,10257,30257
Tampa,10257,30257
Dallas/Fort Worth,10279,30279
Phoenix,11292,30325
Washington,11292,30325
Houston,11292,30325
New York City,11292,30325
San Francisco,11292,30325
Miami,11292,30325
Los Angeles,11292,30325
Tampa,11292,30325
Norfolk,11292,30325
Dallas/Fort Worth,10397,30397
Phoenix,10397,30397
Cleveland,10397,30397
Boston,10397,30397
Washington,10397,30397
Chicago,10397,30397
Columbus,10397,30397
Houston,10397,30397
New York City,10397,30397
San Francisco,10397,30397
Miami,10397,30397
Los Angeles,10397,30397
Tampa,10397,30397
Norfolk,10397,30397
Dallas/Fort Worth,10423,30423
Phoenix,10423,30423
Boston,10423,30423
Washington,10423,30423
Chicago,10423,30423
New York City,10423,30423
San Francisco,10423,30423
Miami,10423,30423
Los Angeles,10423,30423
Tampa,10423,30423
New York City,10431,30431
Miami,10431,30431
Tampa,10431,30431
Washington,15376,30436
Pittsburgh,10466,30466
Pittsburgh,14107,30466
Seattle,14107,30466
Washington,14107,30466
St. Louis,14107,30466
Sioux Falls,10466,30466
Sioux Falls,14107,30466
Spokane,14107,30466
San Francisco,10466,30466
San Francisco,14107,30466
Sacramento,14107,30466
Tampa,14107,30466
San Antonio,14107,30466
San Diego,10466,30466
San Diego,14107,30466
Portland,14107,30466
Raleigh/Durham,14107,30466
Reno,14107,30466
Salt Lake City,14107,30466
Tulsa,14107,30466
Phoenix,10529,30529
Washington,10529,30529
San Francisco,10529,30529
Miami,10529,30529
