flight_id,route_id,year,quarter,passengers,fare,source_record_id
1,77,2021,3,,970,202131013514112ABEPIE
2,77,2021,3,,970,202131013515304ABETPA
3,11,2021,3,,580,202131014011259ABQDAL
4,11,2021,3,,580,202131014011298ABQDFW
5,53,2021,3,,328,202131014014107ABQPHX
6,1,2021,3,,1974,202131014010721ABQBOS
7,1,2021,3,,1974,202131014013296ABQMHT
8,1,2021,3,,1974,202131014014307ABQPVD
9,82,2021,3,,1670,202131014010821ABQBWI
10,82,2021,3,,1670,202131014011278ABQDCA
11,82,2021,3,,1670,202131014012264ABQIAD
12,6,2021,3,,1121,202131014013232ABQMDW
13,6,2021,3,,1121,202131014013930ABQORD
14,23,2021,3,,759,202131014012191ABQHOU
15,23,2021,3,,759,202131014012266ABQIAH
16,44,2021,3,,1861,202131014011618ABQEWR
17,44,2021,3,,1861,202131014012197ABQHPN
18,44,2021,3,,1861,202131014012391ABQISP
19,44,2021,3,,1861,202131014012478ABQJFK
20,44,2021,3,,1861,202131014012953ABQLGA
21,44,2021,3,,1861,202131014015070ABQSWF
22,66,2021,3,,896,202131014013796ABQOAK
23,66,2021,3,,896,202131014014771ABQSFO
24,66,2021,3,,896,202131014014831ABQSJC
25,30,2021,3,,677,202131014010800ABQBUR
26,30,2021,3,,677,202131014012892ABQLAX
27,30,2021,3,,677,202131014012954ABQLGB
28,30,2021,3,,677,202131014013891ABQONT
29,30,2021,3,,677,202131014014908ABQSNA
30,44,2021,3,,218,202131015411618ACKEWR
31,44,2021,3,,218,202131015412197ACKHPN
32,44,2021,3,,218,202131015412478ACKJFK
33,44,2021,3,,218,202131015412953ACKLGA
34,11,2021,3,,602,202131110911259COSDAL
35,11,2021,3,,602,202131110911298COSDFW
36,53,2021,3,,551,202131110914107COSPHX
37,82,2021,3,,1503,202131110910821COSBWI
38,82,2021,3,,1503,202131110911278COSDCA
39,82,2021,3,,1503,202131110912264COSIAD
40,30,2021,3,,833,202131110910800COSBUR
41,30,2021,3,,833,202131110912892COSLAX
42,30,2021,3,,833,202131110912954COSLGB
