route_id,origin_airport_id,destination_airport_id,distance_miles
1,Boston, MA (Metropolitan Area),
2,Bozeman, MT,
3,Buffalo, NY,
4,Charleston, SC,
5,Charlotte, NC,
6,Chicago, IL,
7,Cincinnati, OH,
8,Cleveland, OH (Metropolitan Area),
9,Colorado Springs, CO,
10,Columbus, OH,
11,Dallas/Fort Worth, TX,
12,Denver, CO,
13,Des Moines, IA,
14,Detroit, MI,
15,El Paso, TX,
16,Fort Myers, FL,
17,Fresno, CA,
18,Grand Rapids, MI,
19,Greensboro/High Point, NC,
20,Greenville/Spartanburg, SC,
21,Harlingen/San Benito, TX,
22,Hartford, CT,
23,Houston, TX,
24,Indianapolis, IN,
25,Jacksonville, FL,
26,Kansas City, MO,
27,Knoxville, TN,
28,Las Vegas, NV,
29,Little Rock, AR,
30,Los Angeles, CA (Metropolitan Area),
31,Louisville, KY,
32,Lubbock, TX,
33,Medford, OR,
34,Memphis, TN,
35,Miami, FL (Metropolitan Area),
36,Midland/Odessa, TX,
37,Milwaukee, WI,
38,Minneapolis/St. Paul, MN,
39,Mission/McAllen/Edinburg, TX,
40,Missoula, MT,
41,Myrtle Beach, SC,
42,Nashville, TN,
43,New Orleans, LA,
44,New York City, NY (Metropolitan Area),
45,Norfolk, VA (Metropolitan Area),
46,Oklahoma City, OK,
47,Omaha, NE,
48,Orlando, FL,
49,Palm Springs, CA,
50,Panama City, FL,
51,Pensacola, FL,
52,Philadelphia, PA,
53,Phoenix, AZ,
54,Pittsburgh, PA,
55,Portland, ME,
56,Portland, OR,
57,Provo, UT,
58,Raleigh/Durham, NC,
59,Reno, NV,
60,Richmond, VA,
61,Rochester, NY,
62,Sacramento, CA,
63,Salt Lake City, UT,
64,San Antonio, TX,
65,San Diego, CA,
66,San Francisco, CA (Metropolitan Area),
67,Santa Barbara, CA,
68,Santa Rosa, CA,
69,Sarasota/Bradenton, FL,
70,Savannah, GA,
71,Seattle, WA,
72,Sioux Falls, SD,
73,Spokane, WA,
74,St. Louis, MO,
75,Syracuse, NY,
76,Tallahassee, FL,
77,Tampa, FL (Metropolitan Area),
78,Traverse City, MI,
79,Tucson, AZ,
80,Tulsa, OK,
81,Valparaiso, FL,
82,Washington, DC (Metropolitan Area),
83,West Palm Beach/Palm Beach, FL,
84,Wichita, KS,
85,Wilmington, NC,
